iter	Passed	Remaining
162	1414	7261
163	1419	7235
164	1424	7209
165	1430	7184
166	1435	7159
167	1440	7133
168	1445	7109
169	1450	7084
170	1456	7060
171	1461	7036
172	1467	7013
173	1472	6989
174	1477	6966
175	1483	6943
176	1488	6921
177	1494	6899
178	1499	6876
179	1504	6854
180	1510	6832
181	1515	6811
182	1521	6792
183	1550	6875
184	1556	6858
185	1563	6840
186	1568	6820
187	1574	6798
188	1579	6779
189	1585	6757
190	1590	6735
191	1595	6714
192	1600	6693
193	1606	6672
194	1611	6651
195	1616	6629
196	1621	6609
197	1627	6591
198	1632	6571
199	1637	6550
200	1645	6539
201	1650	6519
202	1655	6500
203	1661	6481
204	1666	6462
205	1691	6519
206	1696	6499
207	1701	6478
208	1706	6458
209	1711	6438
210	1717	6420
211	1722	6403
212	1728	6385
213	1733	6366
214	1738	6347
215	1744	6330
216	1749	6312
217	1754	6293
218	1762	6286
219	1768	6268
220	1773	6251
221	1780	6240
222	1786	6225
223	1794	6215
224	1799	6198
225	1805	6183
226	1811	6169
227	1816	6151
228	1842	6202
229	1847	6186
230	1853	6169
231	1858	6150
232	1863	6133
233	1868	6117
234	1873	6099
235	1878	6082
236	1884	6065
237	1889	6048
238	1894	6032
239	1899	6015
240	1906	6002
241	1912	5991
242	1917	5974
243	1923	5958
244	1928	5942
245	1933	5926
246	1938	5910
247	1943	5894
248	1949	5878
249	1954	5862
250	1959	5846
251	1964	5829
252	1970	5816
253	1992	5851
254	1997	5834
255	2002	5820
256	2007	5804
257	2012	5789
258	2017	5773
259	2023	5758
260	2028	5744
261	2034	5729
262	2039	5714
263	2044	5699
264	2049	5684
265	2054	5668
266	2059	5653
267	2065	5640
268	2070	5627
269	2076	5613
270	2081	5599
271	2086	5584
272	2092	5571
273	2097	5556
274	2101	5541
275	2107	5528
276	2112	5514
277	2118	5501
278	2143	5539
279	2149	5526
280	2154	5512
281	2159	5498
282	2164	5484
283	2171	5474
284	2176	5460
285	2181	5446
286	2186	5432
287	2191	5417
288	2196	5403
289	2201	5389
290	2206	5376
291	2212	5363
292	2217	5350
293	2223	5338
294	2228	5325
295	2233	5312
296	2238	5299
297	2244	5286
298	2249	5273
299	2254	5260
300	2261	5251
301	2266	5238
302	2272	5226
303	2296	5258
304	2302	5245
305	2307	5233
306	2312	5220
307	2317	5207
308	2323	5195
309	2328	5182
310	2333	5170
311	2339	5158
312	2344	5146
313	2350	5134
314	2355	5122
315	2361	5110
316	2369	5104
317	2374	5092
318	2380	5082
319	2386	5070
320	2391	5058
321	2396	5046
322	2402	5035
323	2407	5023
324	2413	5011
325	2418	5000
326	2441	5025
327	2449	5018
328	2454	5007
329	2460	4995
330	2465	4983
331	2470	4971
332	2476	4959
333	2481	4947
334	2486	4935
335	2491	4923
336	2497	4912
337	2502	4900
338	2507	4889
339	2513	4878
340	2518	4867
341	2523	4855
342	2529	4844
343	2534	4833
344	2539	4822
345	2545	4810
346	2550	4799
347	2555	4788
348	2560	4776
349	2567	4767
350	2593	4796
351	2599	4786
352	2605	4774
353	2610	4762
354	2615	4751
355	2619	4739
356	2625	4728
357	2630	4717
358	2635	4706
359	2640	4694
360	2646	4685
361	2652	4674
362	2657	4663
363	2662	4652
364	2668	4642
365	2673	4631
366	2678	4620
367	2683	4609
368	2689	4598
369	2694	4588
370	2699	4576
371	2704	4566
372	2709	4554
373	2715	4544
374	2738	4564
375	2746	4557
376	2751	4546
377	2756	4535
378	2760	4523
379	2766	4512
380	2770	4501
381	2775	4490
382	2780	4479
383	2785	4468
384	2790	4457
385	2796	4447
386	2801	4437
387	2806	4427
388	2812	4417
389	2817	4407
390	2823	4397
391	2829	4387
392	2834	4377
393	2839	4368
394	2845	4358
395	2851	4348
396	2856	4338
397	2862	4329
398	2868	4320
399	2894	4341
400	2899	4331
401	2905	4322
402	2910	4312
403	2916	4301
404	2921	4291
405	2925	4280
406	2931	4270
407	2935	4259
408	2940	4249
409	2945	4238
410	2951	4229
411	2956	4219
412	2961	4209
413	2967	4199
414	2972	4189
415	2977	4179
416	2982	4169
417	2987	4160
418	2993	4150
419	2998	4140
420	3004	4132
421	3009	4122
422	3014	4112
423	3040	4130
424	3046	4121
425	3051	4111
426	3056	4101
427	3061	4091
428	3067	4082
429	3072	4072
430	3077	4062
431	3082	4052
432	3087	4042
433	3092	4032
434	3097	4022
435	3102	4013
436	3107	4003
437	3113	3994
438	3118	3984
439	3123	3975
440	3128	3965
441	3133	3955
442	3138	3946
443	3143	3937
444	3149	3927
445	3154	3918
446	3159	3909
447	3164	3899
448	3170	3890
449	3175	3880
450	3181	3872
451	3205	3886
452	3211	3877
453	3217	3869
454	3223	3860
455	3229	3852
456	3234	3843
457	3239	3833
458	3244	3824
459	3249	3815
460	3255	3805
461	3260	3796
462	3265	3787
463	3270	3777
464	3275	3768
465	3280	3759
466	3285	3750
467	3290	3740
468	3295	3731
469	3301	3722
470	3306	3713
471	3311	3704
472	3316	3694
473	3321	3685
474	3326	3676
475	3332	3668
476	3337	3659
477	3342	3650
478	3347	3641
479	3352	3632
480	3358	3623
481	3382	3635
482	3387	3626
483	3393	3618
484	3398	3609
485	3403	3600
486	3409	3591
487	3414	3582
488	3419	3573
489	3424	3564
490	3430	3555
491	3435	3546
492	3440	3538
493	3445	3529
494	3450	3520
495	3455	3511
496	3460	3502
497	3465	3493
498	3471	3484
499	3476	3476
500	3481	3467
501	3486	3459
502	3492	3451
503	3498	3442
504	3503	3433
505	3512	3429
506	3519	3422
507	3525	3414
508	3530	3405
509	3535	3396
510	3540	3387
511	3545	3379
512	3550	3370
513	3555	3361
514	3560	3353
515	3565	3344
516	3571	3336
517	3576	3327
518	3581	3319
519	3586	3310
520	3592	3302
521	3597	3294
522	3603	3286
523	3608	3278
524	3614	3270
525	3620	3262
526	3625	3254
527	3631	3246
528	3637	3238
529	3650	3237
530	3658	3231
531	3664	3223
532	3669	3215
533	3675	3207
534	3680	3198
535	3685	3190
536	3698	3188
537	3703	3180
538	3709	3172
539	3714	3164
540	3720	3156
541	3726	3148
542	3731	3140
543	3738	3133
544	3744	3125
545	3751	3119
546	3756	3111
547	3762	3103
548	3767	3095
549	3773	3087
550	3778	3079
551	3784	3071
552	3789	3063
553	3814	3071
554	3821	3064
555	3828	3056
556	3834	3049
557	3840	3041
558	3846	3034
559	3851	3026
560	3858	3019
561	3863	3011
562	3869	3003
563	3875	2995
564	3881	2988
565	3887	2980
566	3893	2973
567	3898	2965
568	3904	2957
569	3910	2949
570	3915	2942
571	3921	2934
572	3928	2927
573	3933	2919
574	3939	2912
575	3945	2904
576	3951	2896
577	3957	2889
578	3982	2895
579	3988	2888
580	3994	2880
581	3999	2872
582	4004	2864
583	4010	2856
584	4015	2848
585	4021	2841
586	4027	2833
587	4032	2825
588	4037	2817
589	4042	2809
590	4047	2801
591	4052	2793
592	4057	2785
593	4063	2777
594	4068	2769
595	4073	2761
596	4078	2753
597	4083	2745
598	4088	2737
599	4093	2729
600	4099	2721
601	4104	2713
602	4109	2705
603	4135	2711
604	4141	2703
605	4146	2696
606	4152	2688
607	4158	2681
608	4164	2673
609	4169	2666
610	4175	2658
611	4180	2650
612	4186	2643
613	4192	2635
614	4197	2627
615	4203	2620
616	4208	2612
617	4214	2604
618	4219	2597
619	4225	2589
620	4231	2582
621	4237	2575
622	4243	2567
623	4254	2563
624	4267	2560
625	4272	2552
626	4278	2545
627	4283	2537
628	4289	2530
629	4295	2522
630	4300	2515
631	4306	2507
632	4312	2500
633	4318	2493
634	4344	2497
635	4351	2490
636	4356	2482
637	4362	2475
638	4368	2467
639	4373	2460
640	4379	2452
641	4384	2445
642	4390	2437
643	4396	2430
644	4402	2422
645	4407	2415
646	4413	2407
647	4418	2400
648	4424	2392
649	4429	2385
650	4435	2377
651	4441	2370
652	4447	2363
653	4452	2355
654	4458	2348
655	4463	2340
656	4469	2333
657	4475	2326
658	4480	2318
659	4503	2319
660	4513	2314
661	4518	2307
662	4524	2299
663	4529	2292
664	4535	2284
665	4540	2277
666	4546	2269
667	4551	2262
668	4557	2254
669	4562	2247
670	4568	2239
671	4573	2232
672	4578	2224
673	4584	2217
674	4590	2210
675	4595	2202
676	4600	2195
677	4608	2188
678	4615	2181
679	4621	2174
680	4626	2167
681	4632	2159
682	4637	2152
683	4643	2145
684	4653	2139
685	4662	2134
686	4668	2126
687	4673	2119
688	4680	2112
689	4686	2105
690	4691	2098
691	4697	2090
692	4703	2083
693	4708	2076
694	4713	2068
695	4719	2061
696	4724	2054
697	4730	2046
698	4735	2039
699	4741	2032
700	4747	2024
701	4752	2017
702	4758	2010
703	4763	2002
704	4769	1995
705	4774	1988
706	4780	1981
707	4785	1973
708	4790	1966
709	4797	1959
710	4823	1960
711	4828	1953
712	4834	1945
713	4839	1938
714	4845	1931
715	4850	1924
716	4856	1916
717	4861	1909
718	4866	1902
719	4872	1894
720	4877	1887
721	4883	1880
722	4889	1873
723	4895	1866
724	4900	1858
725	4906	1851
726	4911	1844
727	4917	1837
728	4922	1830
729	4928	1822
730	4933	1815
731	4938	1808
732	4944	1800
733	4949	1793
734	4954	1786
735	4978	1785
736	4986	1779
737	4991	1772
738	4997	1764
739	5002	1757
740	5007	1750
741	5012	1742
742	5018	1735
743	5023	1728
744	5028	1721
745	5033	1713
746	5039	1706
747	5044	1699
748	5050	1692
749	5055	1685
750	5060	1677
751	5066	1670
752	5072	1663
753	5077	1656
754	5082	1649
755	5088	1642
756	5093	1634
757	5098	1627
758	5103	1620
759	5110	1613
760	5120	1608
761	5125	1601
762	5131	1593
763	5137	1587
764	5143	1580
765	5148	1572
766	5154	1565
767	5159	1558
768	5165	1551
769	5170	1544
770	5176	1537
771	5182	1530
772	5187	1523
773	5193	1516
774	5198	1509
775	5203	1502
776	5208	1494
777	5214	1487
778	5219	1480
779	5224	1473
780	5230	1466
781	5235	1459
782	5240	1452
783	5245	1445
784	5250	1438
785	5280	1437
786	5294	1432
787	5300	1425
788	5306	1418
789	5311	1411
790	5317	1404
791	5322	1397
792	5328	1390
793	5333	1383
794	5339	1376
795	5345	1369
796	5350	1362
797	5356	1355
798	5361	1348
799	5367	1341
800	5372	1334
801	5378	1327
802	5383	1320
803	5389	1313
804	5394	1306
805	5400	1299
806	5405	1292
807	5411	1285
808	5417	1279
809	5444	1277
810	5450	1270
811	5455	1263
812	5461	1256
813	5467	1249
814	5472	1242
815	5478	1235
816	5484	1228
817	5489	1221
818	5494	1214
819	5499	1207
820	5504	1200
821	5509	1193
822	5514	1186
823	5519	1179
824	5525	1172
825	5530	1165
826	5535	1158
827	5541	1151
828	5546	1144
829	5552	1137
830	5557	1130
831	5563	1123
832	5588	1120
833	5594	1113
834	5599	1106
835	5605	1099
836	5610	1092
837	5616	1085
838	5621	1078
839	5627	1071
840	5632	1064
841	5637	1057
842	5643	1050
843	5648	1043
844	5653	1036
845	5658	1030
846	5664	1023
847	5669	1016
848	5674	1009
849	5679	1002
850	5685	995
851	5690	988
852	5696	981
853	5701	974
854	5706	967
855	5711	960
856	5735	957
857	5742	950
858	5747	943
859	5752	936
860	5757	929
861	5762	922
862	5768	915
863	5773	908
864	5778	901
865	5784	895
866	5789	888
867	5795	881
868	5800	874
869	5806	867
870	5811	860
871	5816	853
872	5822	847
873	5828	840
874	5834	833
875	5839	826
876	5844	819
877	5850	812
878	5855	806
879	5861	799
880	5887	795
881	5894	788
882	5900	781
883	5905	774
884	5910	768
885	5916	761
886	5922	754
887	5927	747
888	5933	740
889	5938	734
890	5944	727
891	5950	720
892	5955	713
893	5961	706
894	5966	700
895	5972	693
896	5978	686
897	5983	679
898	5989	672
899	5994	666
900	6000	659
901	6005	652
902	6011	645
903	6016	638
904	6022	632
905	6047	627
906	6054	620
907	6060	614
908	6065	607
909	6071	600
910	6076	593
911	6081	586
912	6086	580
913	6092	573
914	6097	566
915	6103	559
916	6108	552
917	6113	546
918	6119	539
919	6124	532
920	6130	525
921	6135	519
922	6140	512
923	6145	505
924	6151	498
925	6156	491
926	6162	485
927	6167	478
928	6173	471
929	6201	466
930	6207	460
931	6212	453
932	6218	446
933	6223	439
934	6228	433
935	6234	426
936	6240	419
937	6245	412
938	6251	406
939	6256	399
940	6261	392
941	6267	385
942	6273	379
943	6278	372
944	6284	365
945	6289	359
946	6295	352
947	6301	345
948	6307	338
949	6313	332
950	6318	325
951	6334	319
952	6358	313
953	6365	306
954	6370	300
955	6376	293
956	6381	286
957	6386	280
958	6392	273
959	6397	266
960	6402	259
961	6407	253
962	6413	246
963	6418	239
964	6423	232
965	6429	226
966	6434	219
967	6440	212
968	6445	206
969	6450	199
970	6456	192
971	6461	186
972	6467	179
973	6472	172
974	6477	166
975	6482	159
976	6506	153
977	6513	146
978	6519	139
979	6524	133
980	6529	126
981	6534	119
982	6539	113
983	6544	106
984	6549	99
985	6554	93
986	6559	86
987	6564	79
988	6569	73
989	6575	66
990	6580	59
991	6585	53
992	6590	46
993	6595	39
994	6601	33
995	6609	26
996	6614	19
997	6620	13
998	6625	6
999	6630	0
